path,youtube_id,channel_slug,channel_url,host,guest,threads,class,dedup_action,target_prefix,needs_rename,notes
source-archive/statecraft/2025-01-04/source-dialogue-works-yemen-s-hypersonic-strike-stuns-israel-as-iran-regroups-col-larry-wilker-2025-01-04.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,,alkhorshid,dw-solo,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-01-05/source-dialogue-works-israel-s-worst-nightmare-coming-prof-mohammad-marandi-scott-ritter-2025-01-05.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Israel's Worst Nightmare Coming | Prof. Mohammad Marandi & Scott Ritter,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-01-11/source-dialogue-works-russia-crushes-kursk-offensive-ukrainian-forces-encircled-and-trapped-sc-2025-01-11.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Russia Crushes Kursk Offensive,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-01-11/source-dialogue-works-the-us-strategy-that-s-failing-spectacularly-col-larry-wilkerson-2025-01-11.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,The US Strategy That's Failing Spectacularly | Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-01-12/source-dialogue-works-israel-is-blind-its-strategic-defeat-becomes-clearer-with-time-larry-c-j-2025-01-12.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,,alkhorshid,dw-solo,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-01-14/source-dialogue-works-israel-shaken-hypersonic-strike-idf-ambushed-as-ceasefire-nears-col-larr-2025-01-14.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Israel Shaken,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-01-15/source-dialogue-works-prof-mohammad-marandi-breaking-official-gaza-ceasefire-announced-what-ha-2025-01-15.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Prof. Mohammad Marandi | Breaking,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-01-17/source-dialogue-works-amb-chas-freeman-the-delusional-policies-driving-america-s-decline-2025-01-17.md,,,,Dialogue Works,Amb. Chas Freeman,alkhorshid,dw-host,keep,source-dialogue-works,False,inverted-yaml; opening:nima-host
source-archive/statecraft/2025-01-18/source-dialogue-works-israel-is-in-total-disarray-alex-krainer-col-larry-wilkerson-2025-01-18.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Israel is in Total Disarray | Alex Krainer & Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-01-19/source-dialogue-works-can-trump-outdo-biden-s-worst-amb-chas-freeman-richard-d-wolff-michael-h-2025-01-19.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,,alkhorshid,dw-solo,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-01-19/source-dialogue-works-trump-pressures-netanyahu-a-power-play-unfolds-larry-c-johnson-scott-rit-2025-01-19.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Trump Pressures Netanyahu,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-01-24/source-dialogue-works-amb-chas-freeman-is-the-world-on-the-brink-of-total-chaos-2025-01-24.md,,,,Nema,Chas Freeman,freeman,dw-host,keep,source-dialogue-works,False,inverted-yaml; opening:nima-host
source-archive/statecraft/2025-01-25/source-dialogue-works-pepe-escobar-trump-in-dire-straits-as-putin-china-s-brics-mega-deal-rock-2025-01-25.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Pepe Escobar,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-01-26/source-dialogue-works-andrei-martyanov-nato-is-collapsing-right-before-our-eyes-2025-01-26.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Andrei Martyanov,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-02-02/source-dialogue-works-trumps-weakness-spells-disaster-col-larry-wilkerson-scott-ritter-2025-02-02.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Trump's Weakness Spells Disaster | Col. Larry Wilkerson & Scott Ritter,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-02-07/source-dialogue-works-amb-chas-freeman-can-the-u-s-take-control-of-gaza-2025-02-07.md,,,,Nema,Chas Freeman,freeman,dw-host,keep,source-dialogue-works,False,inverted-yaml; opening:nima-host
source-archive/statecraft/2025-02-19/source-dialogue-works-martin-armstrong-trump-vs-brics-is-he-leading-the-u-s-to-power-or-collapse-2025-02-19.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Martin Armstrong,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-03-21/source-dialogue-works-amb-chas-freeman-on-trump-keeping-promises-or-breaking-them-2025-03-21.md,,,,Nema,Chas Freeman,freeman,dw-host,keep,source-dialogue-works,False,inverted-yaml; opening:nima-host
source-archive/statecraft/2025-03-28/source-dialogue-works-amb-chas-freeman-will-iran-get-backup-from-russia-and-china-against-the-u-s-2025-03-28.md,,,,Nema,Chas Freeman,freeman,dw-host,keep,source-dialogue-works,False,inverted-yaml; opening:nima-host
source-archive/statecraft/2025-04-04/source-dialogue-works-mohammad-marandi-larry-wilkerson-and-chas-freeman-on-middle-east-erupts-iran-challenges-ultimatum-2025-04-04.md,,,,Nema,Mohammad Marandi,freeman,dw-host,keep,source-dialogue-works,False,inverted-yaml; opening:nima-host
source-archive/statecraft/2025-04-05/source-dialogue-works-yemeni-missiles-slam-us-navy-iran-us-tension-skyrockets-col-larry-wilkerson-larry-c-johnson-2025-04-05.md,,,,Nema,Col. Larry Wilkerson,wilkerson,dw-host,keep,source-dialogue-works,False,
source-archive/statecraft/2025-04-18/source-dialogue-works-mohammad-marandi-larry-wilkerson-and-chas-freeman-talks-or-total-war-clock-ticks-for-iran-and-u-s-2025-04-18.md,,,,Nema,Mohammad Marandi,freeman,dw-host,keep,source-dialogue-works,False,inverted-yaml; opening:nima-host
source-archive/statecraft/2025-05-02/source-dialogue-works-mohammad-marandi-and-amb-chas-freeman-ticking-toward-war-u-s-and-iran-at-a-dangerous-crossroads-2025-05-02.md,,,,Nema,Mohammad Marandi,freeman,dw-host,keep,source-dialogue-works,False,inverted-yaml; opening:nima-host
source-archive/statecraft/2025-05-09/source-dialogue-works-amb-chas-freeman-and-trita-parsi-trump-s-wake-up-call-yemen-s-chaos-forcing-a-deal-with-iran-2025-05-09.md,,,,Nema,Chas Freeman,freeman,dw-host,keep,source-dialogue-works,False,inverted-yaml; opening:nima-host
source-archive/statecraft/2025-05-15/source-dialogue-works-amb-chas-freeman-trump-s-backroom-deal-with-iran-what-s-really-happening-in-istanbul-2025-05-15.md,,,,Nema,Chas Freeman,freeman,dw-host,keep,source-dialogue-works,False,inverted-yaml; opening:nima-host
source-archive/statecraft/2025-05-16/source-dialogue-works-larry-c-johnson-col-larry-wilkerson-trumps-bold-middle-east-gambit-russia-ukraine-collapse-2025-05-16.md,,,,Nema,Col. Larry Wilkerson,wilkerson,dw-host,keep,source-dialogue-works,False,inverted-yaml; opening:nima-host
source-archive/statecraft/2025-05-24/source-dialogue-works-amb-chas-freeman-the-dangerous-myths-we-tell-ourselves-about-china-russia-and-iran-2025-05-24.md,,,,Nema,Chas Freeman,freeman,dw-host,keep,source-dialogue-works,False,inverted-yaml; opening:nima-host
source-archive/statecraft/2025-05-27/source-dialogue-works-col-larry-wilkerson-russia-launches-massive-new-offensive-the-battle-to-win-it-all-2025-05-27.md,,,,Nima,Col. Larry Wilkerson,wilkerson,dw-host,keep,source-dialogue-works,False,opening:nima-host
source-archive/statecraft/2025-05-30/source-dialogue-works-lawrence-wilkerson-larry-wilkerson-chas-freeman-why-america-s-missing-grand-strategy-could-be-a-global-disaster-2025-05-30.md,,,,Nima Alkhorshid,Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-06-14/source-dialogue-works-col-larry-wilkerson-and-chas-freeman-israel-s-attack-on-iran-and-its-devastating-consequences-2025-06-14.md,,,,Nema,Chas Freeman,freeman,dw-host,keep,source-dialogue-works,False,inverted-yaml; opening:nima-host
source-archive/statecraft/2025-06-22/source-dialogue-works-col-larry-wilkerson-amb-chas-freeman-and-trita-parsi-the-us-could-face-a-war-it-can-t-win-2025-06-22.md,,,,Nema,Chas Freeman,freeman,dw-host,keep,source-dialogue-works,False,inverted-yaml; opening:nima-host
source-archive/statecraft/2025-06-25/source-dialogue-works-alastair-crooke-alastair-crooke-iran-israel-ceasefire-inside-the-12-day-war-trump-s-peace-deal-2025-06-25.md,,,,Nima Alkhorshid,Alastair Crooke,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-06-25/source-dialogue-works-amb-chas-freeman-turning-point-in-global-power-iran-attacked-russia-reacts-2025-06-25.md,,,,Nema,Chas Freeman,freeman,dw-host,keep,source-dialogue-works,False,inverted-yaml; opening:nima-host
source-archive/statecraft/2025-07-11/source-dialogue-works-amb-chas-freeman-war-zones-can-china-ukraine-gaza-and-iran-ever-achieve-peace-2025-07-11.md,,dialogue-works,https://www.youtube.com/@DialogueWorks01/videos,Nima Alkhorshid,Chaz Freeman,freeman,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-07-18/source-dialogue-works-col-larry-wilkerson-and-chas-freeman-ww3-imminent-shocking-signs-we-re-on-the-brink-of-global-war-2025-07-18.md,,dialogue-works,https://www.youtube.com/@DialogueWorks01/videos,Nima Alkhorshid,,freeman,dw-solo,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
